"Species","TaxID"
"Conyza canadensis","72917"
"Conyza floribunda","91244"
"Corallorhiza maculata","48526"
"Corallorhiza odontorhiza","459589"
"Corallorhiza wisteriana","459594"
"Corchorus aestuans","360610"
"Coreopsis auriculata","278104"
"Coreopsis basalis","159655"
"Coreopsis delphiniifolia","159661"
"Coreopsis gladiata","159664"
"Coreopsis grandiflora","13449"
"Coreopsis integrifolia","278102"
"Coreopsis lanceolata","159666"
"Coreopsis latifolia","159667"
"Coreopsis linifolia","278103"
"Coreopsis major","159670"
"Coreopsis nudata","1620034"
"Coreopsis pubescens","159679"
"Coreopsis pulchra","159680"
"Coreopsis rosea","159682"
"Coreopsis tinctoria","41554"
"Coreopsis tripteris","159685"
"Coreopsis verticillata","459757"
"Corispermum americanum","1651205"
"Cornus alternifolia","16902"
"Cornus amomum","366638"
"Cornus asperifolia","367340"
"Cornus drummondii","367342"
"Cornus florida","4283"
"Cornus foemina","180958"
"Coronopus didymus","398450"
"Cortaderia selloana","58286"
"Corydalis flavula","330165"
"Corydalis micrantha","1969241"
"Corydalis sempervirens","3464"
"Corylus americana","78632"
"Corylus cornuta","13452"
"Cosmos bipinnatus","51277"
"Cosmos sulphureus","459758"
"Cotinus obovatus","292731"
"Crassula aquatica","1844633"
"Crataegus aemula","1286291"
"Crataegus aestivalis","416279"
"Crataegus berberifolia","3086363"
"Crataegus brachyacantha","416280"
"Crataegus calpodendron","416281"
"Crataegus condigna","3086367"
"Crataegus crus-galli","216036"
"Crataegus crus-galli","416281"
"Crataegus dispar","1286295"
"Crataegus engelmannii","510721"
"Crataegus extraria","1286296"
"Crataegus flabellata","510723"
"Crataegus flava","510746"
"Crataegus furtiva","3086373"
"Crataegus harbisonii","510726"
"Crataegus integra","3085973"
"Crataegus intricata","1638385"
"Crataegus invicta","3086381"
"Crataegus iracunda","1286298"
"Crataegus limnophila","3086387"
"Crataegus macrosperma","1539863"
"Crataegus marshallii","416288"
"Crataegus mollis","36593"
"Crataegus munda","510731"
"Crataegus phaenopyrum","416292"
"Crataegus pruinosa","2071435"
"Crataegus pulcherrima","3086405"
"Crataegus punctata","416294"
"Crataegus rigens","3086406"
"Crataegus rufula","510739"
"Crataegus sargentii","510741"
"Crataegus spathulata","416298"
"Crataegus succulenta","1143232"
"Crataegus triflora","416300"
"Crataegus uniflora","416301"
"Crataegus viridis","416302"
"Crataegus vulsa","3086421"
"Crepis pulchra","268025"
"Crinum americanum","164437"
"Crocosmia x crocosmiiflora","1053288"
"Croomia pauciflora","101609"
"Croptilon divaricatum","147772"
"Crotalaria lanceolata","165770"
"Crotalaria ochroleuca","165772"
"Crotalaria pallida","3830"
"Crotalaria purshii","1237661"
"Crotalaria retusa","165774"
"Crotalaria rotundifolia","1620036"
"Crotalaria sagittalis","1977604"
"Crotalaria spectabilis","517187"
"Croton argyranthemus","323027"
"Croton capitatus","323035"
"Croton elliottii","323048"
"Croton glandulosus","323052"
"Croton michauxii","323093"
"Croton monanthogynus","504225"
"Croton punctatus","323075"
"Cruciata pedemontana","715652"
"Cryptotaenia canadensis","54828"
"Ctenium aromaticum","433859"
"Ctenium floridanum","1969243"
"Cucumis anguria","39473"
"Cucumis melo","3656"
"Cucumis sativus","3659"
"Cucurbita moschata","3662"
"Cucurbita pepo","3663"
"Cudrania tricuspidata","210328"
"Cunila origanoides","479626"
"Cuphea carthagenensis","312566"
"Cuphea procumbens","312591"
"Cuphea viscosissima","857185"
"Cuscuta cephalanthi","267556"
"Cuscuta compacta","267558"
"Cuscuta gronovii","35886"
"Cuscuta harperi","437264"
"Cuscuta indecora","267559"
"Cuscuta obtusiflora","437280"
"Cuscuta pentagona","112407"
"Cuscuta rostrata","437295"
"Cycas revoluta","3396"
"Cyclospermum leptophyllum","48034"
"Cymophyllus fraserianus","100288"
"Cynanchum angustifolium","185031"
"Cynanchum laeve","185048"
"Cynodon dactylon","28909"
"Cynoglossum officinale","181189"
"Cynoglossum virginianum","1288187"
"Cynosurus echinatus","211940"
"Cyperus acuminatus","1350059"
